KASE_BMC 2013-01-03 - 2026-01-29;;;;
Дата;KASE_BMC;;;
22.02.21;102,0234;;;
23.02.21;101,9306;;;
24.02.21;102,1087;;;
25.02.21;101,8277;;;
26.02.21;101,4807;;;
01.03.21;102,007;;;
02.03.21;101,9376;;;
03.03.21;101,9123;;;
04.03.21;101,9545;;;
05.03.21;101,9573;;;
09.03.21;102,3355;;;
10.03.21;102,0313;;;
11.03.21;101,9841;;;
12.03.21;102,0496;;;
15.03.21;102,1634;;;
16.03.21;101,8109;;;
17.03.21;101,8709;;;
18.03.21;101,7894;;;
19.03.21;101,9054;;;
25.03.21;102,041;;;
26.03.21;101,8667;;;
29.03.21;101,9738;;;
30.03.21;101,9804;;;
31.03.21;101,9525;;;
01.04.21;102,1915;;;
02.04.21;101,9793;;;
05.04.21;102,0616;;;
06.04.21;102,0529;;;
07.04.21;102,1757;;;
08.04.21;102,0414;;;
09.04.21;102,0268;;;
12.04.21;102,0953;;;
13.04.21;102,2126;;;
14.04.21;102,2898;;;
15.04.21;102,0148;;;
16.04.21;102,0395;;;
19.04.21;102,1042;;;
20.04.21;102,1398;;;
21.04.21;102,2142;;;
22.04.21;102,0872;;;
23.04.21;101,9895;;;
26.04.21;101,9543;;;
27.04.21;102,2105;;;
28.04.21;102,184;;;
29.04.21;102,0695;;;
30.04.21;102,0452;;;
04.05.21;102,1242;;;
05.05.21;102,2313;;;
06.05.21;102,2824;;;
11.05.21;102,2571;;;
12.05.21;102,2534;;;
13.05.21;102,4926;;;
14.05.21;102,2113;;;
17.05.21;102,5465;;;
18.05.21;102,27;;;
19.05.21;102,39;;;
20.05.21;102,2159;;;
21.05.21;102,2015;;;
24.05.21;102,4045;;;
25.05.21;102,4487;;;
26.05.21;102,2838;;;
27.05.21;102,0454;;;
28.05.21;102,3868;;;
31.05.21;102,468;;;
01.06.21;102,2974;;;
02.06.21;102,3262;;;
03.06.21;102,5057;;;
04.06.21;102,192;;;
07.06.21;102,5936;;;
08.06.21;102,5316;;;
09.06.21;102,4836;;;
10.06.21;102,4627;;;
11.06.21;102,359;;;
14.06.21;102,4457;;;
15.06.21;102,449;;;
16.06.21;102,4429;;;
17.06.21;102,575;;;
18.06.21;102,5794;;;
21.06.21;102,424;;;
22.06.21;102,46;;;
23.06.21;102,6753;;;
24.06.21;102,5169;;;
25.06.21;102,384;;;
28.06.21;102,4191;;;
29.06.21;102,4927;;;
30.06.21;102,6116;;;
01.07.21;102,9368;;;
02.07.21;102,5374;;;
03.07.21;102,572;;;
07.07.21;102,5481;;;
08.07.21;102,5065;;;
09.07.21;102,6;;;
12.07.21;102,6279;;;
13.07.21;102,3982;;;
14.07.21;102,6087;;;
15.07.21;102,6187;;;
16.07.21;102,4435;;;
19.07.21;102,5429;;;
21.07.21;102,5241;;;
22.07.21;102,4511;;;
23.07.21;102,5872;;;
26.07.21;102,6563;;;
27.07.21;102,6006;;;
28.07.21;102,7879;;;
29.07.21;102,6044;;;
30.07.21;102,6296;;;
02.08.21;102,607;;;
03.08.21;102,6255;;;
04.08.21;102,6796;;;
05.08.21;102,621;;;
06.08.21;102,7751;;;
09.08.21;102,6313;;;
10.08.21;102,6275;;;
11.08.21;102,8131;;;
12.08.21;102,6239;;;
13.08.21;102,6317;;;
16.08.21;102,704;;;
17.08.21;102,7201;;;
18.08.21;102,4869;;;
19.08.21;102,732;;;
20.08.21;102,6429;;;
23.08.21;102,6485;;;
24.08.21;102,7008;;;
25.08.21;102,6467;;;
26.08.21;102,7368;;;
27.08.21;102,6921;;;
31.08.21;102,7057;;;
01.09.21;102,7265;;;
02.09.21;102,8089;;;
03.09.21;102,7326;;;
06.09.21;102,8264;;;
